sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0000020,sa_0004966,20,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,10,0.5187041284086669,0.6,0.8645068806811115,0.5358537728479925,0.5091243840363893,0.7384549140622196,6,4,4,5.18704214859355,2,0,2,0,0,0,3,1
fold3_0000021,sa_0004967,21,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,11,0.639662669486449,0.7857142857142857,0.8141161248009351,0.5792147806004619,0.5792147806004619,0.7335478210002925,11,0,6,8.95527818692641,0,0,6,0,0,0,0,0
fold3_0000022,sa_0004968,22,Breast,18,0,"[10,25)",AVAILABLE,1,1,1,15,0.568494181943564,0.6666666666666666,0.8527412729153462,0.6116316221233971,0.6430200513161646,0.8565314208045346,11,4,7,9.38015485481008,2,0,4,1,2,0,1,1
fold3_0000023,sa_0004969,23,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,8,0.34599207307946156,0.4444444444444444,0.7784821644287886,0.3469438462812655,0.3469438462812655,0.5648404353440325,4,4,6,3.113929436197319,0,1,4,1,2,1,1,0
fold3_0000024,sa_0004970,24,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,8,0.4861584341637511,0.5555555555555556,0.8750851814947519,0.5898331393092744,0.5704437072361601,0.8315014687922897,5,3,5,4.375426782558941,2,0,2,1,2,0,0,1
fold3_0000025,sa_0004971,25,Breast,7,0,"[1,10)",AVAILABLE,1,1,1,6,0.7867818641672949,0.9230769230769231,0.8523470195145694,0.8359225367099383,0.8359225367099383,0.910629419265098,6,0,1,5.114082969434436,0,0,1,0,0,0,0,0
fold3_0000026,sa_0004972,26,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,6,0.6926589544520537,0.8571428571428571,0.808102113527396,0.6981453847793647,0.6981453847793647,0.8222445392919909,6,0,2,4.84861348926649,0,0,2,0,0,0,0,0
fold3_0000027,sa_0004973,27,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,9,0.7319912672775489,0.9,0.8133236303083877,0.6993594306049822,0.6993594306049822,0.8230859440442285,9,0,2,7.319913486099119,0,0,2,0,0,0,0,0
fold3_0000028,sa_0004974,28,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,7,0.3436143104276206,0.4,0.8590357760690513,0.4297480145112266,0.41737515181824675,0.883713896869802,4,3,9,3.4361439633119817,7,0,2,0,0,0,0,3
fold3_0000029,sa_0004975,29,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,6,0.5885645349606766,0.75,0.7847527132809021,0.6385087305332704,0.6385087305332704,0.7793778801843319,6,0,4,4.7085170644381265,0,0,4,0,0,0,0,0
fold3_0000030,sa_0004976,30,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,5,0.48225290330291365,0.6153846153846154,0.7836609678672346,0.5828277256848685,0.631971892841458,0.8530678148546824,4,1,4,3.1346446551299065,1,0,2,1,0,0,0,1
fold3_0000031,sa_0004977,31,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,9,0.6630147074831807,0.8181818181818182,0.8103513091461096,0.6107102593010146,0.6322391246330398,0.8857096141268803,9,0,4,7.293162592666295,1,0,3,0,0,0,0,0
fold3_0000032,sa_0004978,32,Breast,12,0,"[10,25)",AVAILABLE,1,1,1,9,0.512363210503137,0.6666666666666666,0.7685448157547057,0.47848134182811075,0.49946654473403446,0.8339093311648709,7,2,5,5.379814478827756,0,3,2,0,0,2,0,0
fold3_0000033,sa_0004979,33,Breast,7,0,"[1,10)",AVAILABLE,1,1,1,6,0.6218154163818782,0.7692307692307693,0.8083600412964417,0.5242269530873711,0.5499063085571518,0.8772467155637946,5,1,2,4.04180101484225,1,0,1,0,0,0,1,0
fold3_0000034,sa_0004980,34,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,8,0.32911013141036655,0.47619047619047616,0.6911312759617698,0.4389934063275059,0.45364735635817593,0.8129179579187734,5,3,8,3.4556570709401253,2,0,4,2,2,0,0,1
